S. No.,Customer Id,Sex,Age,Profile,Store,Product Id,Product Type,Model ID,Product Model,Model Age,RAM,Processor,Graphic,Battery,Price,Offer Number,Country,Area,City,Month,Year
475,10175,f,63,N,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,2,4,10,November,2017
476,10176,f,71,N,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,2,5,13,November,2017
477,10177,m,68,N,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,2,4,September,2017
478,10178,m,66,B,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,6,16,June,2017
479,10179,m,65,N,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,8,23,October,2017
480,10180,f,80,N,O,1,Laptop,111,Inspiron 15 3000,,4,3,0,40,"26,000.00",,2,5,13,October,2017
481,10181,f,28,J,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,1,1,1,October,2017
482,10182,f,47,J,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,1,1,1,October,2017
483,10183,f,69,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,7,20,June,2017
484,10184,m,80,N,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,2,5,13,October,2017
485,10185,m,25,J,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,2,4,10,October,2017
486,10186,m,23,J,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,1,2,October,2017
487,10187,m,38,J,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,3,7,October,2017
488,10188,f,37,J,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,1,2,4,October,2017
489,10189,m,42,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,3,7,September,2017
490,10190,f,32,B,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,1,8,24,June,2017
491,10191,m,23,J,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,8,24,October,2017
492,10192,f,37,J,S,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,2,5,13,October,2017
493,10193,f,59,J,S,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,3,7,20,October,2017
494,10194,m,24,J,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,3,7,October,2017
495,10195,m,73,N,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,7,20,September,2017
496,10196,f,56,J,S,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,4,11,October,2017
497,10197,f,54,B,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,1,6,16,June,2017
498,10198,m,37,B,O,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,6,18,June,2017
499,10199,m,35,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,2,4,October,2017
500,10200,m,22,J,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,1,3,October,2017
501,10201,f,23,S,O,3,Gaming,31,Alienware 15,,,,,,"1,37,890.00",,1,1,3,September,2018
502,10202,m,24,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,1,2,November,2018
503,10203,f,79,N,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,5,13,December,2018
504,10204,m,68,N,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,6,17,September,2018
505,10205,m,47,J,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,1,4,12,October,2018
506,10206,m,36,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,7,20,April,2018
507,10207,f,69,B,O,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,8,24,April,2018
508,10208,f,80,N,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,4,12,September,2018
509,10209,f,24,J,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,2,4,October,2018
510,10210,f,26,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,2,5,October,2018
511,10211,m,22,S,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,3,8,24,August,2018
512,10212,m,23,S,S,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,2,5,14,August,2018
513,10213,f,70,B,O,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,7,21,April,2018
514,10214,f,68,N,S,1,Laptop,111,Inspiron 15 3000,,4,3,0,40,"26,000.00",,2,4,11,September,2018
515,10215,m,48,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,2,5,14,April,2018
516,10216,m,46,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,1,3,7,April,2018
517,10217,f,26,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,3,7,November,2018
518,10218,f,34,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,3,6,18,December,2018
519,10219,m,74,N,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,2,4,10,September,2018
520,10220,m,42,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,6,17,April,2018
521,10221,m,51,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,2,5,14,April,2018
522,10222,f,31,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,3,8,December,2018
523,10223,f,26,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,3,8,November,2018
524,10224,f,24,J,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,2,6,November,2018
525,10225,m,22,S,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,3,7,21,August,2018
526,10226,f,19,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,5,15,August,2018
527,10227,m,18,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,8,24,August,2018
528,10228,f,23,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,1,2,5,April,2018
529,10229,m,31,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,3,8,24,October,2018
530,10230,m,30,J,S,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,1,1,October,2018
531,10231,f,29,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,1,1,December,2018
532,10232,f,55,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,7,21,April,2018
533,10233,f,59,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,2,4,10,April,2018
534,10234,m,37,B,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,6,17,May,2018
535,10235,m,42,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,3,7,21,September,2018
536,10236,f,41,J,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,2,5,15,November,2018
537,10237,m,46,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,2,5,15,May,2018
538,10238,f,44,B,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,1,1,2,May,2018
539,10239,m,49,J,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,1,1,2,October,2018
540,10240,f,70,B,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,8,23,May,2018
541,10241,f,68,B,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,1,2,4,May,2018
542,10242,f,64,N,S,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,1,2,4,September,2018
543,10243,m,34,J,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,2,4,10,December,2018
544,10244,m,45,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,3,8,23,December,2018
545,10245,m,80,N,S,1,Laptop,111,Inspiron 15 3000,,4,3,0,40,"26,000.00",,3,7,21,December,2018
546,10246,f,63,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,2,5,14,May,2018
547,10247,m,68,N,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,1,3,9,December,2018
548,10248,f,65,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,1,3,9,May,2018
549,10249,m,27,J,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,1,3,8,December,2018
550,10250,m,49,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,4,11,September,2018
551,10251,m,57,B,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,2,4,12,May,2018
552,10252,f,44,B,O,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,6,18,May,2018
553,10253,f,25,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,3,6,18,December,2018
554,10254,f,24,J,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,5,14,December,2018
555,10255,f,23,J,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,8,23,December,2018
556,10256,m,20,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,7,21,August,2018
557,10257,f,48,B,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,2,5,15,May,2018
558,10258,m,47,B,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,2,4,11,May,2018
559,10259,f,26,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,2,4,November,2018
560,10260,m,32,J,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,1,2,4,November,2018
561,10261,f,34,B,O,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,1,2,5,May,2018
562,10262,m,39,B,S,2,Desktop,22,Inspiron 27 7000,,,,,,"97,290.00",,3,8,22,May,2018
563,10263,f,40,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,1,1,September,2018
564,10264,m,48,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,1,1,November,2018
565,10265,m,52,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,7,20,May,2018
566,10266,f,17,S,S,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,3,6,18,July,2018
567,10267,f,23,J,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,4,10,November,2018
568,10268,f,63,N,O,1,Laptop,111,Inspiron 15 3000,,4,3,0,40,"26,000.00",,2,5,14,November,2018
569,10269,f,67,B,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,2,5,14,May,2018
570,10270,m,70,N,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,4,10,September,2018
571,10271,f,37,J,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,6,17,November,2018
572,10272,m,42,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,1,2,November,2018
573,10273,f,33,B,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,7,20,June,2018
574,10274,m,53,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,2,4,10,June,2018
575,10275,m,62,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,2,4,11,October,2018
576,10276,f,54,J,S,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,3,8,12,October,2018
577,10277,m,34,J,O,1,Laptop,14,Precision 5520,,,,,,"2,00,000.00",,1,2,6,October,2018
578,10278,f,33,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,3,8,October,2018
579,10279,m,40,B,O,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,1,1,3,June,2018
580,10280,m,79,N,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,2,5,13,October,2018
581,10281,f,57,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,2,5,13,June,2018
582,10282,f,58,J,S,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,3,8,22,October,2018
583,10283,f,33,B,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,7,21,June,2018
584,10284,m,22,S,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,3,6,17,July,2018
585,10285,f,21,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,4,11,July,2018
586,10286,m,25,J,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,1,1,3,October,2018
587,10287,m,28,J,S,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,2,6,October,2018
588,10288,m,55,B,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,6,16,June,2018
589,10289,f,30,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,2,5,13,June,2018
590,10290,m,31,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,3,7,October,2018
591,10291,f,75,N,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,3,7,19,September,2018
592,10292,m,32,J,S,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,1,2,October,2018
594,10294,f,59,B,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,1,2,5,June,2018
595,10295,f,57,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,2,5,13,June,2018
597,10297,m,56,J,S,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,3,8,22,October,2018
598,10298,m,62,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,7,19,June,2018
599,10300,f,23,J,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,4,12,October,2018
600,10004,f,18,S,S,3,Gaming,31,Alienware 15,,,,,,"1,37,890.00",,2,4,12,February,2018
601,10008,m,20,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,1,1,3,January,2018
602,10011,f,35,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,8,22,March,2018
603,10015,f,54,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,2,4,11,January,2018
604,10018,f,18,S,S,1,Laptop,111,Inspiron 15 3000,,4,3,0,40,"26,000.00",,3,6,16,January,2018
605,10021,m,30,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,8,22,February,2018
606,10027,m,60,N,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,1,1,1,January,2018
607,10033,m,26,J,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,3,3,7,January,2018
608,10036,m,20,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,3,7,19,March,2018
609,10042,m,34,B,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,2,4,January,2018
610,10047,m,23,S,S,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,2,4,March,2018
611,10056,m,50,N,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,5,13,February,2018
612,10058,m,19,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,3,6,16,January,2018
613,10061,f,63,N,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,2,5,13,March,2018
614,10065,f,33,B,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,5,14,January,2018
615,10070,m,38,J,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,4,11,March,2018
616,10077,m,32,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,1,2,February,2018
617,10087,f,50,B,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,5,14,January,2018
618,10090,m,22,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,4,10,January,2018
619,10095,f,50,J,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,3,3,7,March,2018
620,10103,f,76,N,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,2,4,10,January,2017
621,10110,m,18,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,3,7,19,February,2017
622,10119,f,33,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,2,5,15,January,2017
623,10122,m,65,B,S,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,2,4,10,March,2017
624,10135,m,67,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,8,22,January,2017
625,10139,f,28,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,3,3,7,February,2017
626,10152,m,16,S,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,2,4,January,2017
627,10156,m,56,B,O,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,2,4,10,January,2017
628,10162,m,43,J,S,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,2,5,15,March,2017
629,10165,m,31,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,3,1,1,January,2017
630,10174,m,75,N,S,2,Desktop,22,Inspiron 27 7000,,,,,,"97,290.00",,3,8,23,February,2017
631,10194,m,21,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,3,9,January,2016
632,10198,m,34,B,O,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,3,6,16,February,2016
633,10203,f,76,N,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,2,5,15,January,2016
634,10215,m,45,B,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,2,5,15,March,2016
635,10220,m,39,B,O,4,Server,42,PowerVault RD1000,,,,,,"74,130.00",,3,6,16,January,2016
636,10233,f,56,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,2,4,11,February,2016
637,10253,f,22,J,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,3,6,16,January,2016
638,10254,f,21,S,S,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,5,14,January,2015
639,10256,m,17,S,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,7,19,February,2015
640,10092,f,35,J,S,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,1,2,January,2015
641,10136,m,62,B,S,4,Server,41,PowerEdge R230,,,,,,"82,900.00",,2,5,14,March,2015
642,10191,m,51,J,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,3,8,23,January,2015
643,10217,f,66,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,3,7,January,2014
644,10251,m,80,N,O,2,Desktop,22,Inspiron 27 7000,,,,,,"97,290.00",,2,4,11,January,2014
645,10301,f,31,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,1,2,November,2018
646,10302,m,23,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,1,3,September,2018
647,10303,f,34,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,2,5,November,2018
648,10304,m,20,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,2,4,September,2018
649,10305,m,21,S,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,3,8,July,2018
650,10306,m,80,N,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,8,23,July,2018
651,10307,f,16,S,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,8,24,September,2018
652,10308,f,18,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,3,7,September,2018
653,10309,m,20,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,4,12,September,2018
654,10310,m,23,J,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,4,12,November,2018
655,10311,f,28,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,5,13,October,2018
656,10312,f,29,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,5,13,September,2018
657,10313,f,43,B,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,7,19,November,2018
658,10314,m,42,J,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,7,19,November,2018
659,10315,f,39,J,S,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,6,17,November,2018
660,10316,m,31,J,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,3,6,18,October,2018
661,10317,f,37,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,3,8,24,September,2018
662,10318,f,65,N,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,8,24,July,2017
663,10319,f,54,N,O,1,Laptop,111,Inspiron 15 3000,,4,3,0,40,"26,000.00",,1,1,1,September,2017
664,10320,m,38,J,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,8,24,November,2017
665,10321,m,78,N,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,1,1,August,2018
666,10322,f,72,N,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,1,2,September,2017
667,10323,m,41,J,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,7,19,September,2017
668,10324,f,22,J,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,2,4,November,2017
669,10325,m,18,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,2,5,August,2017
670,10326,f,21,S,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,3,8,September,2018
671,10327,f,19,S,O,1,Laptop,111,Inspiron 15 3000,,4,3,0,40,"26,000.00",,1,3,8,August,2017
672,10328,f,23,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,4,12,July,2017
673,10329,m,21,S,S,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,4,12,September,2017
674,10330,m,17,S,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,7,19,August,2017
675,10331,m,55,J,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,6,18,September,2017
676,10332,f,44,J,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,6,18,September,2017
677,10333,f,33,J,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,6,18,October,2017
678,10334,m,77,N,S,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,2,5,13,July,2018
679,10335,f,31,J,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,5,13,October,2017
680,10336,m,50,J,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,2,5,14,July,2018
681,10337,f,30,J,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,4,11,October,2017
682,10338,m,21,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,8,24,August,2015
683,10339,m,15,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,7,19,August,2015
684,10340,f,20,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,3,6,18,August,2015
685,10341,f,60,J,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,2,5,15,October,2015
686,10342,m,31,J,S,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,2,4,11,November,2015
687,10343,f,42,J,S,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,3,8,November,2015
688,10344,m,49,J,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,2,6,October,2015
689,10345,f,40,J,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,7,19,December,2015
690,10346,m,42,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,1,1,August,2015
691,10347,f,31,J,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,2,5,December,2015
692,10348,m,19,S,O,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,1,1,October,2014
693,10349,f,30,J,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,8,22,November,2014
694,10350,f,39,J,S,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,3,7,19,November,2014
695,10351,f,38,J,S,2,Desktop,22,Inspiron 27 7000,,,,,,"97,290.00",,3,6,17,October,2014
696,10352,m,45,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,1,2,4,August,2018
697,10353,m,67,J,S,0,Laptop,12,XPS 9369,,8,5,2,42,"98,989.00",,1,3,8,August,2018
698,10354,m,31,J,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,2,4,10,October,2014
699,10355,m,29,J,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,2,5,15,November,2014
700,10356,f,75,N,S,1,Laptop,11,Inspiron 15 3000,,4,3,0,40,"34,089.00",,1,1,1,December,2014
701,10357,f,16,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,2,4,August,2017
702,10358,m,15,S,O,1,Laptop,13,XPS 9370,,8,5,4,52,"98,990.00",,1,3,8,July,2017
703,10359,f,21,S,O,1,Laptop,111,Inspiron 15 3000,,4,3,0,40,"26,000.00",,2,5,15,September,2017
704,10360,m,23,S,O,1,Laptop,14,Precision 5520,,16,7,8,56,"2,00,000.00",,2,4,10,September,2017
705,10361,f,20,S,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,1,1,1,July,2017
706,10362,m,19,S,S,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,5,14,August,2017
707,10363,f,14,S,O,2,Desktop,22,Inspiron 27 7000,,8,7,4,0,"97,290.00",,3,6,17,August,2017
708,10364,m,18,S,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,7,20,September,2017
709,10365,f,24,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,8,22,September,2017
710,10366,f,19,S,O,3,Gaming,31,Alienware 15,,16,7,8,68,"1,37,890.00",,3,8,22,July,2018
711,10367,m,18,S,O,2,Desktop,21,Inspiron 24 3000,,8,5,2,0,"41,690.00",,3,7,21,August,2018
712,10368,f,21,S,O,1,Laptop,12,Inspiron 15 7572,,8,5,2,42,"62,989.00",,2,5,14,August,2018
